scenario,variant,metric,value
A,raw_getitem,n,2000
A,raw_getitem,mean_us,1.3764499999966429
A,raw_getitem,std_us,10.686054757515356
A,raw_getitem,median_us,0.40000000023354687
A,raw_getitem,p95_us,0.500000000069889
A,raw_getitem,p99_us,1.6120000000441228
A,raw_getitem,min_us,0.29999999995311555
A,raw_getitem,max_us,176.80000000019902
A,getitem+ToTensor,n,2000
A,getitem+ToTensor,mean_us,13.666150000010811
A,getitem+ToTensor,std_us,5.732031687896973
A,getitem+ToTensor,median_us,12.399999999912481
A,getitem+ToTensor,p95_us,19.105000000241287
A,getitem+ToTensor,p99_us,30.607000000100186
A,getitem+ToTensor,min_us,9.29999999987885
A,getitem+ToTensor,max_us,116.49999999985283
A,getitem+Aug+ToTensor,n,2000
A,getitem+Aug+ToTensor,mean_us,207.15160000000265
A,getitem+Aug+ToTensor,std_us,158.7265950728879
A,getitem+Aug+ToTensor,median_us,202.400000000047
A,getitem+Aug+ToTensor,p95_us,476.5200000001356
A,getitem+Aug+ToTensor,p99_us,753.7440000001893
A,getitem+Aug+ToTensor,min_us,13.599999999946988
A,getitem+Aug+ToTensor,max_us,1425.8000000002546
